division,availability,submitter,system,host_processor_model_name,host_processors_count,accelerator_model_name,accelerators_count,framework,bert,dlrm,maskrcnn,minigo,resnet,ssd,rnnt,unet3d,details_url,code_url
closed,None,NVIDIA,dgxa100_n128_ngc21.09_mxnet,AMD EPYC 7742,256,NVIDIA A100-SXM4-80GB (400W),1024,MxNet NVIDIA Release 21.09,,,,,0.5746833333333333,0.4542,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n128_ngc21.09_mxnet.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n128_ngc21.09_pytorch,AMD EPYC 7742,256,NVIDIA A100-SXM4-80GB (400W),1024,PyTorch NVIDIA Release 21.09,0.5575583333333334,,,,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n128_ngc21.09_pytorch.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n14_ngc21.09_merlin_hugectr,AMD EPYC 7742,28,NVIDIA A100-SXM4-80GB (400W),112,merlin_hugectr NVIDIA Release 21.09,,0.6325,,,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n14_ngc21.09_merlin_hugectr.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n16_ngc21.09_pytorch,AMD EPYC 7742,32,NVIDIA A100-SXM4-80GB (400W),128,PyTorch NVIDIA Release 21.09,,,,,,,4.40828125,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n16_ngc21.09_pytorch.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n192_ngc21.09_pytorch,AMD EPYC 7742,384,NVIDIA A100-SXM4-80GB (400W),1536,PyTorch NVIDIA Release 21.09,,,,,,,2.3752583333333335,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n192_ngc21.09_pytorch.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n224_ngc21.09_tensorflow,AMD EPYC 7742,448,NVIDIA A100-SXM4-80GB (400W),1792,TensorFlow NVIDIA Release 21.09,,,,15.465202083333335,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n224_ngc21.09_tensorflow.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n32_ngc21.09_tensorflow,AMD EPYC 7742,64,NVIDIA A100-SXM4-80GB (400W),256,TensorFlow NVIDIA Release 21.09,,,,29.093331249999995,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n32_ngc21.09_tensorflow.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n4_ngc21.09_pytorch,AMD EPYC 7742,8,NVIDIA A100-SXM4-80GB (400W),32,PyTorch NVIDIA Release 21.09,,,14.499416666666667,,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n4_ngc21.09_pytorch.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n51_ngc21.09_pytorch,AMD EPYC 7742,102,NVIDIA A100-SXM4-80GB (400W),408,PyTorch NVIDIA Release 21.09,,,3.241722222222222,,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n51_ngc21.09_pytorch.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n540_ngc21.09_mxnet,AMD EPYC 7742,1080,NVIDIA A100-SXM4-80GB (400W),4320,MxNet NVIDIA Release 21.09,,,,,0.3470333333333333,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n540_ngc21.09_mxnet.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
