division,availability,submitter,system,host_processor_model_name,host_processors_count,accelerator_model_name,accelerators_count,framework,bert,dlrm,maskrcnn,minigo,resnet,ssd,rnnt,unet3d,details_url,code_url
closed,None,NVIDIA,dgxa100_n540_ngc21.09_pytorch,AMD EPYC 7742,1080,NVIDIA A100-SXM4-80GB (400W),4320,PyTorch NVIDIA Release 21.09,0.22621874999999997,,,,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n540_ngc21.09_pytorch.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n8_ngc21.09_merlin_hugectr,AMD EPYC 7742,16,NVIDIA A100-SXM4-80GB (400W),64,merlin_hugectr NVIDIA Release 21.09,,0.6848555555555557,,,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n8_ngc21.09_merlin_hugectr.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n8_ngc21.09_mxnet,AMD EPYC 7742,16,NVIDIA A100-SXM4-80GB (400W),64,MxNet NVIDIA Release 21.09,,,,,4.533744444444444,1.5238833333333333,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n8_ngc21.09_mxnet.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n8_ngc21.09_pytorch,AMD EPYC 7742,16,NVIDIA A100-SXM4-80GB (400W),64,PyTorch NVIDIA Release 21.09,3.038058333333333,,,,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n8_ngc21.09_pytorch.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n96_ngc21.09_mxnet,AMD EPYC 7742,192,NVIDIA A100-SXM4-80GB (400W),768,MxNet NVIDIA Release 21.09,,,,,,,,1.372829166666667,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n96_ngc21.09_mxnet.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_n9_ngc21.09_mxnet,AMD EPYC 7742,18,NVIDIA A100-SXM4-80GB (400W),72,MxNet NVIDIA Release 21.09,,,,,,,,3.7571520833333336,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_n9_ngc21.09_mxnet.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_ngc21.09_merlin_hugectr,AMD EPYC 7742,2,NVIDIA A100-SXM4-80GB (400W),8,merlin_hugectr NVIDIA Release 21.09,,1.7091166666666666,,,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_ngc21.09_merlin_hugectr.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_ngc21.09_mxnet,AMD EPYC 7742,2,NVIDIA A100-SXM4-80GB (400W),8,MxNet NVIDIA Release 21.09,,,,,29.14658888888889,8.258344444444445,,25.524379166666666,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_ngc21.09_mxnet.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_ngc21.09_pytorch,AMD EPYC 7742,2,NVIDIA A100-SXM4-80GB (400W),8,PyTorch NVIDIA Release 21.09,20.003233333333334,,46.16744444444444,,,,34.243404166666664,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_ngc21.09_pytorch.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
closed,None,NVIDIA,dgxa100_ngc21.09_tensorflow,AMD EPYC 7742,2,NVIDIA A100-SXM4-80GB (400W),8,TensorFlow NVIDIA Release 21.09,,,,264.86751458333333,,,,,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/systems/dgxa100_ngc21.09_tensorflow.json,https://github.com/mlcommons/training_results_v1.1/blob/master/NVIDIA/benchmarks
